Titulo Principal,Titulo Secundario,Autor,N° Ref
The Essays of Arthur Schopenhauer; Studies in Pessimism,,Arthur Schopenhauer,1963
Short Stories,,Fyodor Dostoyevsky,1961
The Iliad of Homer,,Homer,1961
My Bondage and My Freedom,,Frederick Douglass,1957
The Moon and Sixpence,,W. Somerset  Maugham,1956
Folk-Tales of Bengal,,Lal Behari Day,1950
Tender Buttons,,Gertrude Stein,1948
九命奇冤,,Jianren Wu,1941
El crimen y el castigo,,Fyodor Dostoyevsky,1938
Lord Jim,,Joseph Conrad,1934
Emile,,Jean-Jacques Rousseau,1917
二刻拍案惊奇,,Mengchu Ling,1916
Baron Trump's Marvellous Underground Journey,,Ingersoll Lockwood,1911
The World's Sixteen Crucified Saviors,Christianity Before Christ,Kersey Graves,1908
Etiquette,,Emily Post,1905
The Art of Public Speaking,,Dale Carnegie and J. Berg  Esenwein,1902
A royal smuggler :,,William Dalton,1901
Protagoras,,Plato,1900
A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,,Rousseau,1899
The Open Boat and Other Stories,,Stephen Crane,1892
Poems and Songs of Robert Burns,,Robert Burns,1887
The Great God Pan,,Arthur Machen,1884
The Gentlemen's Book of Etiquette and Manual of Politeness,,Cecil B. Hartley,1878
Poems,,Victor Hugo,1878
"Plutarch's Lives, Volume 1",,Plutarch,1877
A General History of the Pyrates:,,Daniel Defoe,1877
"The Jargon File, Version 4.2.2, 20 Aug 2000",,,1875
"The Nursery, August 1881, Vol. XXX",,Various,1875
Fifty Famous Stories Retold,,James Baldwin,1873
Letters of Abelard and Heloise,,Peter Abelard and Héloïse,1871
Discours de la méthode,,René Descartes,1865
Shakespeare's Sonnets,,William Shakespeare,1859
The Golden Bough: A Study of Magic and Religion,,James George Frazer,1858
The Mill on the Floss,,George Eliot,1856
Slavery as an industrial system :,,H. J.  Nieboer,1856
English-Esperanto Dictionary,,C. F.  Hayes and J. C.  O'Connor,1856
竹葉亭雜記,,Yuanzhi Yao,1856
Dead Souls,,Nikolai Vasilevich Gogol,1855
The Letters of Wolfgang Amadeus Mozart — Volume 01,,Wolfgang Amadeus Mozart,1853
"Lucky, the Boy Scout",,Elmer Sherwood,1852
The Hanging Stranger,,Philip K. Dick,1851
"The Bet, and other stories",,Anton Pavlovich Chekhov,1847
"Two brave boys, and, The wrong twin",,Mary E.  Ropes,1847
The Art of War,,active 6th century B.C. Sunzi,1846
"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",,Snorri Sturluson,1844
Little Dorrit,,Charles Dickens,1843
"Poems on various subjects, religious and moral",,Phillis Wheatley,1839
An Account of Egypt,,Herodotus,1839
Laws,,Plato,1835
Pag Susulatan nang Dalauang Binibini na si Urbana at ni Feliza,,Modesto  de Castro,1829
Mrs. Warren's Profession,,Bernard Shaw,1828
American Notes,,Charles Dickens,1819
The Kybalion,,Three Initiates,1818
Philosophiae Naturalis Principia Mathematica,,Isaac Newton,1815
The Anglo-Saxon Chronicle,,,1815
Don Juan Tenorio,,José Zorrilla,1810
The Man in the Brown Suit,,Agatha Christie,1808
"Eve's Diary, Complete",,Mark Twain,1808
The Waste Land,,T. S.  Eliot,1806
The Origin of Species,,Means of Natural Selection by Charles Darwin,1806
Siddhartha: eine indische Dichtung,,Hermann Hesse,1800
A Japanese Boy,,Shigemi Shiukichi,1798
The Jew of Malta,,Christopher Marlowe,1792
Белые ночи,,Fyodor Dostoyevsky,1791
The Man Who Was Thursday: A Nightmare,,G. K.  Chesterton,1787
English Fairy Tales,,,1780
The Common Law,,Oliver Wendell Holmes,1780
The slang dictionary :,,John Camden Hotten,1775
Friends in strange garments,,Anna Milo Upjohn,1773
The Arabian Nights Entertainments,,Andrew Lang,1771
The Sturgis wager :,,Edgar Morette,1770
The Sea-Wolf,,Jack London,1768
"Amphitryo, Asinaria, Aulularia, Bacchides, Captivi",,Titus Maccius Plautus,1766
Howards End,,E. M.  Forster,1765
El árbol de la ciencia: novela,,Pío Baroja,1764
The School for Scandal,,Richard Brinsley Sheridan,1764
Entretiens / Interviews / Entrevistas,,Marie Lebert,1761
Little Lucy's Wonderful Globe,,Charlotte M.  Yonge,1760
The Portrait of a Lady — Volume 1,,Henry James,1757
Le rouge et le noir: chronique du XIXe siècle,,Stendhal,1754
The First Six Books of the Elements of Euclid,,John Casey and Euclid,1752
Духовные оды,,Gavriil Romanovich Derzhavin,1751
Aeneidos,,Virgil,1751
The Legends of King Arthur and His Knights,,Sir James Knowles and Sir Thomas Malory,1746
The Romance of Tristan and Iseult,,Joseph Bédier,1746
"The Tinguian: Social, Religious, and Economic Life of a Philippine Tribe",,Fay-Cooper Cole,1745
Essays of Schopenhauer,,Arthur Schopenhauer,1742
Theaetetus,,Plato,1739
The wolf pack,,Ridgwell Cullum,1736
The Box-Car Children,,Gertrude Chandler Warner,1736
"Ancient Nahuatl Poetry, Containing the Nahuatl Text of XXVII Ancient Mexican Poems",,Brinton,1734
Volpone,The Fox,Ben Jonson,1733
Laura Middleton; Her Brother and her Lover,,Anonymous,1732
Daemonologie.,,King of England James I,1726
The mystery of the Blue Train,,Agatha Christie,1724
Latin for Beginners,,Benjamin L.  D'Ooge,1723
The Tenant of Wildfell Hall,,Anne Brontë,1723
An Ideal Husband,,Oscar Wilde,1711
Canada West,,,1711
Plutarch's Morals,,Plutarch,1708
Arms and the Man,,Bernard Shaw,1706
Sister Carrie: A Novel,,Theodore Dreiser,1702
Anne's House of Dreams,,L. M.  Montgomery,1700
A Princess of Mars,,Edgar Rice Burroughs,1700
The Practice of the Presence of God,,Brother of the Resurrection Lawrence,1697
The Real Mother Goose,,,1693
The innocence of Father Brown,,G. K.  Chesterton,1691
Daddy-Long-Legs,,Jean Webster,1691
On the Nature of Things,,Titus Lucretius Carus,1690
Nicholas Nickleby,,by Charles Dickens,1689
The Lives and Opinions of Eminent Philosophers,,Diogenes Laertius,1688
Lady Audley's Secret,,M. E.  Braddon,1687
"The Philippine Islands, 1493-1803 — Volume 05 of 55",,,1683
Sons and Lovers,,D. H.  Lawrence,1682
The Spanish Tragedie,,Thomas Kyd,1680
The Earliest Arithmetics in English,,,1678
"The Spectator, Volume 1",,Joseph Addison and Sir Richard Steele,1675
"Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan",,José Rizal,1674
The Nibelungenlied,,,1671
The Story of My Life,,Helen Keller,1670
Dave Porter's war honors :,,Edward Stratemeyer,1670
The Discoverie of Witchcraft,,Reginald Scot,1664
First lessons in batik :,,Gertrude Clayton Lewis,1664
Eugene Oneguine [Onegin],,Aleksandr Sergeevich Pushkin,1664
The Raven,,Edgar Allan Poe,1664
"The Odes of Casimire, Translated",,G. Hils by Maciej Kazimierz Sarbiewski,1662
Confessions of an English Opium-Eater,,Thomas De Quincey,1659
The Velveteen Rabbit,,Margery Williams Bianco,1657
"Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists",,,1657
Surgical Anatomy,,Joseph Maclise,1656
Commentary on the Epistle to the Galatians,,Martin Luther,1654
The Egyptian Book of the dead,,,1650
"Knickerbocker's History of New York, Complete",,Washington Irving,1649
Japanese Fairy Tales,,Yei Theodora Ozaki,1649
Kalevala : the Epic Poem of Finland — Complete,,,1642
Five Selected Short Stories,,D. H.  Lawrence,1642
Two little Finns,,Mary E.  Ropes,1642
The Essays of Arthur Schopenhauer: the Wisdom of Life,,Arthur Schopenhauer,1636
Tarzan of the Apes,,Edgar Rice Burroughs,1635
The Meditations of the Emperor Marcus Aurelius Antoninus,,Emperor of Rome Marcus Aurelius,1628
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",,Giacomo Casanova,1624
The Analects of Confucius,,Confucius,1621
Considerations on Representative Government,,John Stuart Mill,1618
The Tale of Squirrel Nutkin,,Beatrix Potter,1618
The Octoroon,,M. E.  Braddon,1617
The Narrative of Arthur Gordon Pym of Nantucket,,Edgar Allan Poe,1614
Their island home :,,Jules Verne,1613
Festival plays :,,Marguerite Merington,1613
Zimmerblattpflanzen,,Udo Dammer,1608
The Crucible,,Mark Lee Luther,1608
The literature of the Highlanders :,,Nigel MacNeill,1606
A Concise Anglo-Saxon Dictionary,,J. R. Clark  Hall,1604
Boswell's Life of Johnson,,James Boswell,1603
李太白集,,Bai Li,1602
The Travels of Sir John Mandeville,,Sir John Mandeville,1600
Prayers of the Early Church,,,1594
The Old Curiosity Shop,,Charles Dickens,1592
Alice's Adventures in Wonderland,,Lewis Carroll,1591
海公案,,Anonymous,1591
The Rubaiyat of Omar Khayyam,,Omar Khayyam,1589
Charlotte Temple,,Mrs. Rowson,1587
Victoria,,Knut Hamsun,1586
Cyropaedia: The Education of Cyrus,,Xenophon,1585
Checklist,,,1585
The Will to Power: An Attempted Transvaluation of All Values. Book I and II,,Nietzsche,1584
Justice,,John Galsworthy,1582
Life in the Iron-Mills,The Korl Woman,Rebecca Harding Davis,1581
Novelas Cortas,,Pedro Antonio de Alarcón,1580
Minute Mysteries [Detectograms],,H. A.  Ripley,1579
"The Works of the Right Honourable Edmund Burke, Vol. 01",,Edmund Burke,1579
Autobiography of a Yogi,,Paramahansa Yogananda,1578
What Is Art?,,graf Leo Tolstoy,1576
Simple Sabotage Field Manual,,United States. Office of Strategic Services,1576
Niebla,,Miguel de Unamuno,1576
Dom Casmurro,,Machado de Assis,1575
The House of the Seven Gables,,Nathaniel Hawthorne,1575
The Wonderful Wizard of Oz,,L. Frank  Baum,1574
Sir Gawain and the Green Knight: A Middle-English Arthurian Romance Retold in Modern Prose,,Weston,1573
The Medicinal Plants of the Philippines,,T. H.  Pardo de Tavera,1572
New Atlantis,,Francis Bacon,1572
Tamburlaine the Great — Part 1,,Christopher Marlowe,1571
Demonology and Devil-lore,,Moncure Daniel Conway,1566
"Right Ho, Jeeves",,P. G.  Wodehouse,1565
Myths and Legends of China,,E. T. C.  Werner,1565
The Willows,,Algernon Blackwood,1565
The Arabian Nights: Their Best-known Tales,,,1564
"A woman's war record, 1861-1865",,Septima M.  Collis,1559
Walking,,Henry David Thoreau,1557
Palmistry for All,,Cheiro,1555
Principios e questões de philosophia politica,,António Cândido,1555
The Analysis of Mind,,Bertrand Russell,1553
Orthodoxy,,G. K.  Chesterton,1549
The Germany and the Agricola of Tacitus,,Cornelius Tacitus,1546
The Agamemnon of Aeschylus,,Aeschylus,1544
Heath's Modern Language Series: The Spanish American Reader,,Ernesto Nelson,1544
Ion,,Plato,1542
Erewhon,Over the Range,Samuel Butler,1542
Japanese Girls and Women,,Alice Mabel Bacon,1541
A Pocket Dictionary: Welsh-English,,William Richards,1540
The Little Clay Cart [Mṛcchakaṭika],,Sūdraka,1539
Grimm's Fairy Tales,,Jacob Grimm and Wilhelm Grimm,1538
Contes Français,,,1536
Woodworking Tools 1600-1900,,Peter C. Welsh,1536
Marmion: A Tale Of Flodden Field,,Walter Scott,1533
Timaeus,,Plato,1532
I. Beowulf: an Anglo-Saxon poem. II. The fight at Finnsburh: a fragment.,,,1530
A Complete Guide to Heraldry,,Arthur Charles Fox-Davies,1529
A General Introduction to Psychoanalysis,,Sigmund Freud,1528
Voyage au Centre de la Terre,,Jules Verne,1527
Cicero's Tusculan Disputations,,Marcus Tullius Cicero,1525
L'île mystérieuse,,Jules Verne,1519
The Book of Tea,,Kakuzo Okakura,1519
The Secret Agent: A Simple Tale,,Joseph Conrad,1517
A Hundred and Seventy Chinese Poems,,,1509
The Eighteenth Brumaire of Louis Bonaparte,,Karl Marx,1507
Helmet and spear :,,Alfred John Church,1507
Every Man in His Humor,,Ben Jonson,1505
Os Maias: episodios da vida romantica,,Eça de Queirós,1503
Faust: Eine Tragödie [erster Teil],,Johann Wolfgang von Goethe,1502
The Suppression of the African Slave Trade to the United States of America,,W. E. B.  Du Bois,1501
"The Schoolmistress, and Other Stories",,Anton Pavlovich Chekhov,1501
The Taming of the Shrew,,William Shakespeare,1500
The Mysterious Island,,Jules Verne,1499
Far from the Madding Crowd,,Thomas Hardy,1496
Some Principles of Maritime Strategy,,Julian Stafford Corbett,1491
Spoon River Anthology,,Edgar Lee Masters,1491
The Post Office,,Rabindranath Tagore,1488
Lays of Ancient Rome,,Baron Thomas Babington Macaulay Macaulay,1487
The Essays of Arthur Schopenhauer; Counsels and Maxims,,Arthur Schopenhauer,1484
The Works of Edgar Allan Poe — Volume 5,,Edgar Allan Poe,1484
"Rockets, Missiles, and Spacecraft of the National Air and Space Museum, Smithsonian Institution",,,1479
The Wampanoags in the seventeenth century :,,Catherine Marten,1478
The Institutes of Justinian,,,1473
Tartuffe,The Hypocrite,Molière,1470
The Gambler,,Fyodor Dostoyevsky,1470
Monday or Tuesday,,Virginia Woolf,1466
The Fairy Tales of Charles Perrault,,Charles Perrault,1461
The Best American Humorous Short Stories,,,1461
"The Best of the World's Classics, Restricted to Prose, Vol. X",,,1460
The Shame of the Cities,,Lincoln Steffens,1460
Dombey and Son,,Charles Dickens,1457
"Autobiography of Ma-ka-tai-me-she-kia-kiak, or Black Hawk",,Sauk chief Black Hawk,1452
The Autobiography of Benjamin Franklin,,Benjamin Franklin,1452
"Australia, New Zealand and some islands of the South seas :",,Frank G.  Carpenter,1451
Divina Commedia di Dante: Inferno,,Dante Alighieri,1451
The Prince,,Niccolò Machiavelli,1450
The case-book of Sherlock Holmes,,Arthur Conan Doyle,1449
Now we are six,,A. A.  Milne,1449
灵历集光,,Shangjie Song,1446
Martin Chuzzlewit,,Charles Dickens,1445
Heimskringla,The Chronicle of the Kings of Norway,Snorri Sturluson,1441
"The Principles of Psychology, Volume 1",,William James,1440
Modern Spanish Lyrics,,,1438
The 2010 CIA World Factbook,,United States. Central Intelligence Agency,1438
"The Queen of Spades, and other stories",,Aleksandr Sergeevich Pushkin,1437
The Wonders of the Invisible World,,Cotton Mather and Increase Mather,1431
Villette,,Charlotte Brontë,1430
粉妝樓全傳,,Guanzhong Luo,1428
"The Works of Edgar Allan Poe, The Raven Edition",,Edgar Allan Poe,1428
Humbug :,,E. M. Delafield,1426
Boy Scouts Handbook,,Boy Scouts of America,1426
"The Battle of the Books, and other Short Pieces",,Jonathan Swift,1423
Relativity : the Special and General Theory,,Albert Einstein,1421
The Marching Morons,,C. M.  Kornbluth,1420
"Encyclopaedia Britannica, 11th Edition, ""Destructors"" to ""Diameter""",,Various,1420
"The Danish History, Books I-IX",,Grammaticus Saxo,1418
"Straight forward; or, walking in the light :",,Lucy Ellen Guernsey,1417
The Critique of Practical Reason,,Immanuel Kant,1416
Ancient Pagan and Modern Christian Symbolism,,Thomas Inman and M.R.C.S.E. John Newton,1415
La Comédie humaine - Volume 02,,Honoré de Balzac,1415
Lucian's True History,,of Samosata Lucian,1414
Home Geography for Primary Grades,,C. C. Long,1412
Venus in Furs,,Ritter von Leopold Sacher-Masoch,1412
English Literature,,William J.  Long,1409
All About Coffee,,William H.  Ukers,1409
Scouting for Boys,,Baron Robert Stephenson Smyth Baden-Powell Baden-Powell of Gilwell,1402
"Letters to His Son, Complete",,Earl of Philip Dormer Stanhope Chesterfield,1400
The American Diary of a Japanese Girl,,Yoné Noguchi,1398
Psychology of the Unconscious,,C. G.  Jung,1398
Yr Hwiangerddi,,Sir Owen Morgan Edwards,1397
The Friars in the Philippines,,Ambrose Coleman,1396
The Tale of Tom Kitten,,Beatrix Potter,1394
Tragic Sense Of Life,,Miguel de Unamuno,1393
The Joyful Wisdom,,Friedrich Wilhelm Nietzsche,1392
"Ragged Dick,",Street Life in New York with the Boot-Blacks,Jr. Horatio Alger,1391
The New Gresham Encyclopedia. Estremoz to Felspar,,Various,1390
The Big Four,,Agatha Christie,1389
The Age of the Reformation,,Preserved Smith,1382
A tight squeeze :,,William Staats,1382
The Day of Doom,a Poetical Description of the Great and Last Judgement,Michael Wigglesworth,1382
Dialogues in French and English,,William Caxton,1382
The Secret Sharer,,Joseph Conrad,1379
"Bushido, the Soul of Japan",,Inazo Nitobe,1379
The Ladies Delight,,Anonymous,1379
"Napoleon's Letters to Josephine, 1796-1812",,Emperor of the French Napoleon I,1376
Aldyth's inheritance,,Eglanton Thorne,1374
"Current History, Vol. VIII, No. 3, June 1918",,Various,1373
羹,,Jun'ichiro Tanizaki,1371
The Diary of Samuel Pepys — Complete,,Samuel Pepys,1370
The New Life,,Dante Alighieri,1368
Letters of Pliny,,the Younger Pliny,1367
First through the Grand Canyon :,,John Wesley Powell,1366
Lady Chatterley's lover,,D. H.  Lawrence,1365
Детство,,graf Leo Tolstoy,1363
The uses of water in health and disease :,,John Harvey Kellogg,1362
The Battle of the Bays,,Owen Seaman,1361
Northern Nut Growers Association Report of the Proceedings at the Thirty-Seventh  Annual Report,,,1361
The Rhinegold & The Valkyrie,,Richard Wagner,1358
El Hombre Mediocre: Ensayo de psicologia y moral,,José Ingenieros,1356
Tim and Tip :,,James Otis,1354
Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,,Jules Verne,1353
"Hesiod, the Homeric Hymns, and Homerica",,Hesiod,1350
Gwaith Samuel Roberts,,Samuel Roberts,1349
Poems Every Child Should Know,,,1349
Der Zauberberg. Erster Band,,Thomas Mann,1349
The Woman in Black,,E. C.  Bentley,1347
Because of conscience :,,Amy Ella Blanchard,1344
The Frontier in American History,,Frederick Jackson Turner,1344
Kant's Critique of Judgement,,Immanuel Kant,1343
"1900; or, The last President",,Ingersoll Lockwood,1343
"Legends, Tales and Poems",,Gustavo Adolfo Bécquer,1342
The Complete Poetical Works of Edgar Allan Poe,,Edgar Allan Poe,1341
Following the Equator: A Journey Around the World,,Mark Twain,1341
Father Goriot,,Honoré de Balzac,1340
How it feels to be colored me,,Zora Neale Hurston,1338
An Introduction to Mathematics,,Alfred North Whitehead,1337
Dragon's teeth :,,Eça de Queirós,1336
Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,,Thomas Carlyle,1333
The Ancient Irish Epic Tale Táin Bó Cúalnge,,,1329
Sketches New and Old,,Mark Twain,1327
The Orbis Pictus,,Johann Amos Comenius,1322
The Lost World,,Arthur Conan Doyle,1322
The Hairy Ape,,Eugene O'Neill,1320
Grimm's Fairy Stories,,Jacob Grimm and Wilhelm Grimm,1318
Memoirs of General William T. Sherman — Complete,,William T.  Sherman,1318
The American Occupation of the Philippines 1898-1912,,James H.  Blount,1317
One Hundred Proofs That the Earth Is Not a Globe,,William Carpenter,1314
O Pioneers!,,Willa Cather,1313
The Man Who Would Be King,,Rudyard Kipling,1311
Fables de La Fontaine,,Jean de La Fontaine,1311
The Science of Getting Rich,,W. D. Wattles,1309
The Secret Adversary,,Agatha Christie,1308
The International Jew : The World's Foremost Problem,,Anonymous,1308
The Financier: A Novel,,Theodore Dreiser,1308
A New History of the United States,,Charles Morris,1307
What's Wrong with the World,,G. K.  Chesterton,1307
Encyclopedia of Needlework,,Thérèse de Dillmont,1307
The Birds,,Aristophanes,1306
Give Me Liberty or Give Me Death,,Patrick Henry,1306
金瓶梅,,Xiaoxiaosheng,1305
At the mountains of madness,,H. P.  Lovecraft,1301
The Piazza Tales,,Herman Melville,1297
Essais de Montaigne,,Michel de Montaigne,1297
Constantinople,,Théophile Gautier,1296
Webster's Unabridged Dictionary,,Various,1295
The Tragedy of Romeo and Juliet,,William Shakespeare,1292
"Notes and Queries, Vol. III, Number 87, June 28, 1851",,Various,1292
Plutarch: Lives of the noble Grecians and Romans,,Plutarch,1288
Public Opinion,,Walter Lippmann,1288
Men without women,,Ernest Hemingway,1282
The gardener,,Rabindranath Tagore,1281
Myths of the Norsemen: From the Eddas and Sagas,,H. A.  Guerber,1281
Northern Nut Growers Association Report of the Proceedings at the 44th Annual Meeting,,,1278
The 2006 CIA World Factbook,,United States. Central Intelligence Agency,1275
Diego Collado's Grammar of the Japanese Language,,Diego Collado,1274
The Great Illusion,,Norman Angell,1273
Agawan ng Dangal,,Fausta Cortes,1272
United States Steel: A Corporation with a Soul,,Arundel Cotter,1270
The Marvelous Land of Oz,,L. Frank  Baum,1268
El libro de las tierras vírgenes,,Rudyard Kipling,1268
How to Live on 24 Hours a Day,,Arnold Bennett,1266
Lady Susan,,Jane Austen,1264
A Complete Dictionary of Synonyms and Antonyms,,Samuel Fallows,1264
"De Re Metallica, Translated from the First Latin Edition of 1556",,Georg Agricola,1262
Three Ghost Stories,,Charles Dickens,1261
Principles of Political Economy,,John Stuart Mill,1259
The symbolism of Freemasonry :,,Albert Gallatin Mackey,1259
The Liberty Minstrel,,George Washington Clark,1256
Bahnwärter Thiel,,Gerhart Hauptmann,1256
The Letters of Jane Austen,,Jane Austen,1254
Laughter: An Essay on the Meaning of the Comic,,Henri Bergson,1254
Adventures of Sherlock Holmes,,Arthur Conan Doyle,1253
"Rasselas, Prince of Abyssinia",,Samuel Johnson,1253
One Thousand Ways to Make Money,,Page Fox,1252
The house at Pooh Corner,,A. A.  Milne,1250
Chile today and tomorrow,,L. E. Elliott  Joyce,1249
A Mind That Found Itself: An Autobiography,,Clifford Whittingham Beers,1248
Maggie: A Girl of the Streets,,Stephen Crane,1247
American Indian Stories,,Zitkala-Sa,1247
The Nursery Rhymes of England,,,1245
Hans Andersen's Fairy Tales. Second Series,,H. C.  Andersen,1242
West African Folk-Tales,,,1241
The Varieties of Religious Experience: A Study in Human Nature,,William James,1241
呻吟語,,Kun Lü,1238
Beauty and the Beast,,Jeanne-Marie Leprince de Beaumont,1238
"Principles of Orchestration, with Musical Examples Drawn from His Own Works",,Rimsky-Korsakov,1237
Phantastes: A Faerie Romance for Men and Women,,George MacDonald,1235
中國十大禁書之國色天香,,active 16th century Jingsuo Wu,1234
"How to Tell a Story, and Other Essays",,Mark Twain,1232
The Notebooks of Leonardo Da Vinci — Complete,,da Vinci Leonardo,1229
Favorite Fairy Tales,,,1229
The Dawn of Day,,Friedrich Wilhelm Nietzsche,1228
The Initiates of the Flame,,Manly P.  Hall,1228
All in the same boat :,,Barbara  Reynolds and Earle L. Reynolds,1226
The Awakening of Spring: A Tragedy of Childhood,,Frank Wedekind,1220
Demian: Die Geschichte von Emil Sinclairs Jugend,,Hermann Hesse,1219
The 2004 CIA World Factbook,,United States. Central Intelligence Agency,1218
Varney the Vampire,the Feast of Blood,Thomas Peckett Prest and James Malcolm Rymer,1218
The East :,,William Young Martin,1217
"Scientific  American, Volume XXXVI., No. 8, February 24, 1877",,Various,1216
"Ars Amatoria; or, The Art Of Love",,Ovid,1216
Fairy and Folk Tales of the Irish Peasantry,,,1214
Faust: Der Tragödie erster Teil,,Johann Wolfgang von Goethe,1213
The wonderful Christmas in Pumpkin Delight Lane,,Sarah J.  Prichard,1213
"Scientific  American, Volume XXIV., No. 12,  March 18, 1871",,Various,1206
"The Mantle, and Other Stories",,Nikolai Vasilevich Gogol,1206
"Красавице, которая нюхала табак",,Aleksandr Sergeevich Pushkin,1205
The Bacchae of Euripides,,Euripides,1205
The story of a national crime :,,P. H.  Bryce,1203
"Obras Completas de Luis de Camões, Tomo II",,Luís de Camões,1203
The Book of the Homeless,,,1202
Four Arthurian Romances,,active 12th century de Troyes Chrétien,1200
Sonnets from the Portuguese,,Elizabeth Barrett Browning,1199
The Book of the Thousand Nights and a Night — Volume 01,,,1196
The Pencil of Nature,,William Henry Fox Talbot,1195
"The History of Don Quixote, Volume 2, Complete",,Miguel de Cervantes Saavedra,1194
"The passing of the great race; or, The racial basis of European history",,Madison Grant,1191
"The Essays or Counsels, Civil and Moral",,Francis Bacon,1190
"Scientific American Supplement, No. 433, April 19, 1884",,Various,1189
Letters of a Javanese Princess,,Raden Adjeng Kartini,1188
Creative Chemistry: Descriptive of Recent Achievements in the Chemical Industries,,Slosson,1187
"The Works of Guy de Maupassant, Vol. 1",,Guy de Maupassant,1187
Le roman de la rose - Tome I,,de Lorris Guillaume and de Meun Jean,1185
"Encyclopaedia Britannica, 11th Edition, ""Bent, James"" to ""Bibirine""",,Various,1185
A Dog's Tale,,Mark Twain,1184
King Solomon's Mines,,H. Rider  Haggard,1184
"Shakespeare, William",,,225131
"Shelley, Mary Wollstonecraft",,,160198
"Dickens, Charles",,,141163
"Smollett, T.",,,127910
"Austen, Jane",,,121208
"Twain, Mark",,,114847
"Wilde, Oscar",,,94791
"Dostoyevsky, Fyodor",,,90183
"Melville, Herman",,,89701
"Dumas, Alexandre",,,87492
"Doyle, Arthur Conan",,,86157
"Hawthorne, Nathaniel",,,77922
"Garnett, Constance",,,76295
"Montgomery, L. M.",,,76183
"Alcott, Louisa May",,,74865
"Carroll, Lewis",,,74850
"Maquet, Auguste",,,74795
"Nietzsche, Friedrich Wilhelm",,,71305
Plato,,,70350
"Eliot, George",,,66922
"Stevenson, Robert Louis",,,66535
"Jowett, Benjamin",,,65132
Homer,,,62225
"Forster, E. M.",,,60749
"Ibsen, Henrik",,,56452
"Merrill, Frank T.",,,55858
"Wells, H. G.",,,54503
"Gaskell, Elizabeth Cleghorn",,,51269
"Tolstoy, Leo, graf",,,51079
"Poe, Edgar Allan",,,50101
"Foote, Mary Hallock",,,48782
"Anthony, A. V. S.",,,48253
"Ipsen, Ludvig Sandöe",,,48253
"Widger, David",,,48115
"Von Arnim, Elizabeth",,,46904
"Swift, Jonathan",,,45361
"Fielding, Henry",,,45186
"Kafka, Franz",,,44301
"Verne, Jules",,,44282
"Wagner, Richard",,,44224
"Hugo, Victor",,,44048
"Brock, C. E.",,,43478
"Rizal, José",,,43448
"Doré, Gustave",,,41870
"Irving, Washington",,,41748
"Cervantes Saavedra, Miguel de",,,41525
"Joyce, James",,,39727
"Stoker, Bram",,,39563
"Fitzgerald, F. Scott",,,38981
"Conrad, Joseph",,,38670
"Wyllie, David",,,36973
"Chesterton, G. K.",,,35650
"Gilman, Charlotte Perkins",,,34815
Dante Alighieri,,,34741
"James, Henry",,,34477
"London, Jack",,,34204
"Kipling, Rudyard",,,34176
"Lang, Andrew",,,34028
"Baum, L. Frank",,,33294
"Chekhov, Anton Pavlovich",,,33124
"Du Bois, W. E. B.",,,32207
"Pope, Alexander",,,31578
"Goethe, Johann Wolfgang von",,,31193
"Morley, Henry",,,31182
"Russell, Bertrand",,,31083
"Balzac, Honoré de",,,30926
"Kemble, E. W.",,,28877
"Defoe, Daniel",,,27340
"Robertson, James Alexander",,,27234
"Butler, Samuel",,,27060
"Locke, John",,,27053
"Christie, Agatha",,,26241
"Grimm, Wilhelm",,,25668
"Grimm, Jacob",,,25668
"Scott, Walter",,,25484
"Machiavelli, Niccolò",,,25378
"Hobbes, Thomas",,,25214
"Shaw, Bernard",,,25107
"Thoreau, Henry David",,,24884
"Hall, J. Lesslie",,,24816
"Brontë, Charlotte",,,24760
"Blair, Emma Helen",,,24755
"Kant, Immanuel",,,24635
"Burton, Richard Francis, Sir",,,24578
"Maude, Aylmer",,,24510
"Maupassant, Guy de",,,24253
"Bourne, Edward Gaylord",,,24210
"Levy, Oscar",,,24061
"Leech, John",,,23940
"Maude, Louise",,,23424
"Wharton, Edith",,,23030
"Bell, George",,,22779
"Rackham, Arthur",,,21776
Voltaire,,,21757
"Murray, Gilbert",,,21598
Aristotle,,,21517
"Townsend, F. H.",,,21459
"Mill, John Stuart",,,21293
"Marriott, W. K.",,,20956
"Buckley, Theodore Alois",,,20892
"Barrie, J. M.",,,20740
"Augustine, Saint, Bishop of Hippo",,,20658
"Common, Thomas",,,20437
"Ormsby, John",,,19918
United States. Central Intelligence Agency,,,19577
"Derbyshire, Charles E.",,,19511
"Burroughs, Edgar Rice",,,19505
"Douglass, Frederick",,,19355
"Burnett, Frances Hodgson",,,19239
"Proust, Marcel",,,19157
"Davidson, Thomas",,,19017
"Chambers, Robert W.",,,18696
"Hardy, Thomas",,,18024
"Flaubert, Gustave",,,17821
Aesop,,,17807
"Malory, Thomas, Sir",,,17430
"Byron, George Gordon Byron, Baron",,,17337
"Milne, A. A.",,,17259
