Titulo Principal,Titulo Secundario,Autor,N° Ref
The Picture of Dorian Gray,,Oscar Wilde,110
The Wind in the Willows,,Kenneth Grahame,110
A Brief Account of the Destruction of the Indies,,Bartolomé de las Casas,110
The Lady of the Lake,,Walter Scott,110
The Pursuit of God,,A. W.  Tozer,110
The Frontier in American History,,Frederick Jackson Turner,109
Gorgias,,Plato,109
We,,Evgenii Ivanovich Zamiatin,109
La Divina Comedia,,Dante Alighieri,109
The Masque of the Red Death,,Edgar Allan Poe,109
Os Lusíadas,,Luís de Camões,108
Moby Word Lists,,Word Lists by Grady Ward,108
"The Mysterious Stranger, and Other Stories",,Mark Twain,108
Helps to Latin Translation at Sight,,Edmund Luce,108
How We Think,,John Dewey,107
A Shropshire Lad,,A. E.  Housman,107
"Human, All Too Human: A Book for Free Spirits",,Friedrich Wilhelm Nietzsche,106
Der Struwwelpeter,,Heinrich Hoffmann,106
The Confessions of Jean Jacques Rousseau — Complete,,Jean-Jacques Rousseau,106
Maan tomu-uurna :,,L. Onerva,106
九命奇冤,,Jianren Wu,106
Sir Gawain and the Green Knight: A Middle-English Arthurian Romance Retold in Modern Prose,,Weston,106
The Aeneid of Virgil,,Virgil,105
The Common Law,,Oliver Wendell Holmes,105
Charlotte Temple,,Mrs. Rowson,104
The Argonautica,,Rhodius Apollonius,104
The Woman in White,,Wilkie Collins,103
雲形紋章,,John Meade Falkner,103
Fairy Tales of Hans Christian Andersen,,H. C.  Andersen,103
The Ballad of the White Horse,,G. K.  Chesterton,103
Riders to the Sea,,J. M.  Synge,103
The Enchiridion,,Epictetus,103
Twice-told tales,,Nathaniel Hawthorne,103
The Railway Children,,E.  Nesbit,103
"The Life of St. Teresa of Jesus, of the Order of Our Lady of Carmel",,Saint of Avila Teresa,103
The Pilgrim's Progress from this world to that which is to come,,John Bunyan,102
Miscellaneous Writings and Speeches — Volume 4,,Baron Thomas Babington Macaulay Macaulay,102
A passage to India,,E. M.  Forster,101
Andersen's Fairy Tales,,H. C.  Andersen,101
The Complete Herbal,,Nicholas Culpeper,101
"1900; or, The last President",,Ingersoll Lockwood,101
The Scarlet Letter,,Nathaniel Hawthorne,101
Poems,,Victor Hugo,101
The Analysis of Mind,,Bertrand Russell,100
Democracy and Education: An Introduction to the Philosophy of Education,,John Dewey,100
The Crucible,,Mark Lee Luther,100
"The History of Rome, Books 01 to 08",,Livy,100
The Murder on the Links,,Agatha Christie,100
Something of Men I Have Known,,Adlai E.  Stevenson,100
"The Doré Bible Gallery, Complete",,,100
The Declaration of Independence of the United States of America,,Thomas Jefferson,99
The Romance of Tristan and Iseult,,Joseph Bédier,99
Salomé: A Tragedy in One Act,,Oscar Wilde,99
The Way of the World,,William Congreve,99
"The Will to Believe, and Other Essays in Popular Philosophy",,William James,99
The Last of the Mohicans; A narrative of 1757,,James Fenimore Cooper,99
Flatland: A Romance of Many Dimensions,,Edwin Abbott Abbott,97
As a man thinketh,,James Allen,97
"Plutarch's Lives, Volume 1",,Plutarch,97
Beautiful Stories from Shakespeare,,E.  Nesbit and William Shakespeare,97
The Gilded Age: A Tale of Today,,Mark Twain and Charles Dudley Warner,97
"Great short stories, Volume 1",,,97
The Iliad of Homer,,Homer,97
