Titulo Principal,Titulo Secundario,Autor,N° Ref
The call of Cthulhu,,H. P.  Lovecraft,2440
A Vindication of the Rights of Woman,,Mary Wollstonecraft,2424
Y Gododin: A Poem of the Battle of Cattraeth,,Aneirin,2412
"""Everyman,"" with other interludes, including eight miracle plays",,,2408
The Playboy of the Western World: A Comedy in Three Acts,,J. M.  Synge,2406
"On Heroes, Hero-Worship, and the Heroic in History",,Thomas Carlyle,2397
Half a Man: The Status of the Negro in New York,,Mary White Ovington,2394
Lamia,,John Keats,2385
The Wind in the Willows,,Kenneth Grahame,2377
The Complete Herbal,,Nicholas Culpeper,2376
Anne of Avonlea,,L. M.  Montgomery,2374
Our Mutual Friend,,Charles Dickens,2373
Diccionario Bagobo-Español,,Mateo Gisbert,2364
Spoon River Anthology,,Edgar Lee Masters,2360
Pollyanna,,Eleanor H.  Porter,2357
The Sketch-Book of Geoffrey Crayon,,Washington Irving,2356
Paradise Lost,,John Milton,2356
Troilus and Criseyde,,Geoffrey Chaucer,2345
Julius Caesar,,William Shakespeare,2344
"Moby-Dick; or, The Whale",,Herman Melville,2341
A Christmas Carol,,Charles Dickens,2336
Meno,,Plato,2335
Utilitarianism,,John Stuart Mill,2335
The World as Will and Idea,,Arthur Schopenhauer,2332
Also sprach Zarathustra: Ein Buch für Alle und Keinen,,Friedrich Wilhelm Nietzsche,2324
Kidnapped,,Robert Louis Stevenson,2320
Daddy Takes Us to the Garden,,Howard Roger Garis,2318
Politics: A Treatise on Government,,Aristotle,2317
How We Think,,John Dewey,2312
Aesop's Fables,,Aesop,2299
Fifteen sonnets of Petrarch,,Francesco Petrarca,2297
The Scarlet Pimpernel,,Baroness Emmuska Orczy Orczy,2294
The Confessions of Jean Jacques Rousseau — Complete,,Jean-Jacques Rousseau,2294
A handy dictionary of mythology :,,Thomas Preston,2290
Lady Windermere's Fan,,Oscar Wilde,2289
"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",,Sherwood Anderson,2283
Chess Fundamentals,,José Raúl Capablanca,2281
Fairy Tales of Hans Christian Andersen,,H. C.  Andersen,2272
Argonauts of the Western Pacific,,Bronislaw Malinowski,2270
"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1",,Bernal Díaz del Castillo,2249
Fundamental Principles of the Metaphysic of Morals,,Immanuel Kant,2247
The Gift of the Magi,,O. Henry,2245
Martin Eden,,Jack London,2232
Beautiful Stories from Shakespeare,,E.  Nesbit and William Shakespeare,2222
Pride and Prejudice,,Jane Austen,2222
A Child's Garden of Verses,,Robert Louis Stevenson,2220
The Canterville Ghost,,Oscar Wilde,2216
Ecce Homo,,Friedrich Wilhelm Nietzsche,2215
El libro de las mil noches y una noche; t. 1,,Anonymous,2213
The Murder on the Links,,Agatha Christie,2208
Cane,,Jean Toomer,2204
Twice-told tales,,Nathaniel Hawthorne,2197
Ghosts,,Henrik Ibsen,2197
The Scarlet Letter,,Nathaniel Hawthorne,2187
1811 Dictionary of the Vulgar Tongue,,Francis Grose,2185
The Online World,,Odd De Presno,2176
De Officiis,,Marcus Tullius Cicero,2176
Kim,,Rudyard Kipling,2174
"The Odysseys of Homer, together with the shorter poems",,Homer,2168
The Imitation of Christ,,à Kempis Thomas,2167
Gulliver's Travels into Several Remote Regions of the World,,Jonathan Swift,2164
The Merry Adventures of Robin Hood,,Howard Pyle,2162
The Way of the World,,William Congreve,2150
"Apology, Crito, and Phaedo of Socrates",,Plato,2147
The Anatomy of Melancholy,,Robert Burton,2145
The 2002 CIA World Factbook,,United States. Central Intelligence Agency,2139
The Secret Garden,,Frances Hodgson Burnett,2139
"Pamela, or Virtue Rewarded",,Samuel Richardson,2130
"The Influence of Sea Power Upon History, 1660-1783",,A. T.  Mahan,2128
The Argonautica,,Rhodius Apollonius,2116
The Princess and the Goblin,,George MacDonald,2115
The Life of Lazarillo de Tormes,,Anonymous,2100
Roughing It,,Mark Twain,2100
An Enquiry Concerning the Principles of Morals,,David Hume,2096
"The Oera Linda Book, from a Manuscript of the Thirteenth Century",,,2094
Mrs. Spring Fragrance,,Sui Sin Far,2092
Man and Superman: A Comedy and a Philosophy,,Bernard Shaw,2090
Life Is a Dream,,Pedro Calderón de la Barca,2082
The champion,,Charles Egbert Craddock,2081
Second Variety,,Philip K. Dick,2080
The Blue Fairy Book,,Andrew Lang,2080
呻吟語,,Kun Lü,2078
John F. Kennedy's Inaugural Address,,John F.  Kennedy,2076
Bradford's History of 'Plimoth Plantation',,William Bradford,2075
Les liaisons dangereuses,,Choderlos de Laclos,2069
On the Sublime,,active 1st century Longinus,2068
"Nil Darpan; or, The Indigo Planting Mirror, A Drama.",,Dinabandhu Mitra,2067
"The Forsyte Saga, Volume I.",,John Galsworthy,2064
French Conversation and Composition,,Harry Vincent Wann,2060
Dracula's Guest,,Bram Stoker,2058
Biographia Literaria,,Samuel Taylor Coleridge,2057
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,,Charles Mackay,2051
Ancient Monuments of the Mississippi Valley,,E. H.  Davis and E. G.  Squier,2050
A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Librar,,,2050
"A Biblia Sagrada, Contendo o Velho e o Novo Testamento",,,2049
"The Bible, Douay-Rheims, Complete",,,2048
Cuentos de Amor de Locura y de Muerte,,Horacio Quiroga,2047
A Brief Account of the Destruction of the Indies,,Bartolomé de las Casas,2043
"The Country of the Blind, and Other Stories",,H. G.  Wells,2036
The Beast in the Jungle,,Henry James,2036
The golden rule,,Madeline Leslie,2024
Dialogues Concerning Natural Religion,,David Hume,2022
"Suspense, Volume 1",,Henry Seton Merriman,2022
The Gilded Age: A Tale of Today,,Mark Twain and Charles Dudley Warner,2022
My Bondage and My Freedom,,Frederick Douglass,2021
Flatland: A Romance of Many Dimensions,,Edwin Abbott Abbott,2020
The Poems of Sappho: An Interpretative Rendition into English,,Sappho,2018
The Practice and Science of Drawing,,Harold Speed,2015
Filipino Popular Tales,,,2012
Plays,,"Anton Chekhov, Second Series by Anton Pavlovich Chekhov",2012
El arte de amar,,Ovid,2012
A Tramp Abroad,,Mark Twain,2010
"The Life and Opinions of Tristram Shandy, Gentleman",,Laurence Sterne,2010
肉蒲團,,Yu Li,2006
Those barren leaves,,Aldous Huxley,2005
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,,Sophocles,2003
Ritual of the Order of the Eastern Star,,,2002
Le Morte d'Arthur: Volume 2,,Sir Thomas Malory,2000
The Pilgrim's Progress,,John Bunyan Every Child Can Read by John Bunyan,1992
Thought-Forms,,Annie Besant and C. W.  Leadbeater,1992
Daisy Miller: A Study,,Henry James,1991
The Tragedy of Pudd'nhead Wilson,,Mark Twain,1991
"Proverbes sur les femmes, l'amitié, l'amour et le mariage",,P.-M.  Quitard,1988
Tender Buttons,,Gertrude Stein,1985
The Moonstone,,Wilkie Collins,1979
The Essays of Arthur Schopenhauer; Studies in Pessimism,,Arthur Schopenhauer,1977
The Story of the Volsungs,,,1977
Short Stories,,Fyodor Dostoyevsky,1975
Baron Trump's Marvellous Underground Journey,,Ingersoll Lockwood,1974
"The Forme of Cury: A Roll of Ancient English Cookery Compiled, about A.D. 1390",,Samuel Pegge,1974
The Tale of Genji,,Murasaki Shikibu,1968
Soeur Thérèse de l'Enfant-Jésus et de la Sainte Face,,Saint de Lisieux Thérèse,1966
The Iliad of Homer,,Homer,1963
The Art of Public Speaking,,Dale Carnegie and J. Berg  Esenwein,1952
大唐新語,,active 806-820 Su Liu,1948
Emile,,Jean-Jacques Rousseau,1948
El crimen y el castigo,,Fyodor Dostoyevsky,1947
Etiquette,,Emily Post,1942
The Moon and Sixpence,,W. Somerset  Maugham,1940
A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,,Rousseau,1939
二刻拍案惊奇,,Mengchu Ling,1938
Master and Man,,graf Leo Tolstoy,1936
Folk-Tales of Bengal,,Lal Behari Day,1934
The World's Sixteen Crucified Saviors,Christianity Before Christ,Kersey Graves,1929
"The Jargon File, Version 4.2.2, 20 Aug 2000",,,1927
Lord Jim,,Joseph Conrad,1923
Poems and Songs of Robert Burns,,Robert Burns,1922
The Open Boat and Other Stories,,Stephen Crane,1919
The Great God Pan,,Arthur Machen,1919
"Plutarch's Lives, Volume 1",,Plutarch,1917
"Poems on various subjects, religious and moral",,Phillis Wheatley,1911
A royal smuggler :,,William Dalton,1911
The Waste Land,,T. S.  Eliot,1903
Letters of Abelard and Heloise,,Peter Abelard and Héloïse,1889
The Gentlemen's Book of Etiquette and Manual of Politeness,,Cecil B. Hartley,1888
Discours de la méthode,,René Descartes,1883
Shakespeare's Sonnets,,William Shakespeare,1881
Poems,,Victor Hugo,1879
The Mill on the Floss,,George Eliot,1879
A General History of the Pyrates:,,Daniel Defoe,1878
"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",,Snorri Sturluson,1874
The Letters of Wolfgang Amadeus Mozart — Volume 01,,Wolfgang Amadeus Mozart,1874
English-Esperanto Dictionary,,C. F.  Hayes and J. C.  O'Connor,1874
Dead Souls,,Nikolai Vasilevich Gogol,1868
The Earliest Arithmetics in English,,,1867
"Lucky, the Boy Scout",,Elmer Sherwood,1865
The Art of War,,active 6th century B.C. Sunzi,1864
Slavery as an industrial system :,,H. J.  Nieboer,1863
An Account of Egypt,,Herodotus,1862
Protagoras,,Plato,1862
The Hanging Stranger,,Philip K. Dick,1862
The Golden Bough: A Study of Magic and Religion,,James George Frazer,1861
The Arabian Nights Entertainments,,Andrew Lang,1859
The Anglo-Saxon Chronicle,,,1856
"Two brave boys, and, The wrong twin",,Mary E.  Ropes,1855
竹葉亭雜記,,Yuanzhi Yao,1854
Fifty Famous Stories Retold,,James Baldwin,1851
Mrs. Warren's Profession,,Bernard Shaw,1850
Little Dorrit,,Charles Dickens,1841
Pag Susulatan nang Dalauang Binibini na si Urbana at ni Feliza,,Modesto  de Castro,1837
American Notes,,Charles Dickens,1835
The Kybalion,,Three Initiates,1834
"The Bet, and other stories",,Anton Pavlovich Chekhov,1833
Laws,,Plato,1826
九命奇冤,,Jianren Wu,1824
The Common Law,,Oliver Wendell Holmes,1823
Don Juan Tenorio,,José Zorrilla,1822
Philosophiae Naturalis Principia Mathematica,,Isaac Newton,1821
The Sea-Wolf,,Jack London,1815
The Man in the Brown Suit,,Agatha Christie,1814
The Origin of Species,,Means of Natural Selection by Charles Darwin,1809
The Man Who Was Thursday: A Nightmare,,G. K.  Chesterton,1808
Siddhartha: eine indische Dichtung,,Hermann Hesse,1805
The Jew of Malta,,Christopher Marlowe,1801
El árbol de la ciencia: novela,,Pío Baroja,1800
A Japanese Boy,,Shigemi Shiukichi,1800
"The Nursery, August 1881, Vol. XXX",,Various,1798
The School for Scandal,,Richard Brinsley Sheridan,1797
The Legends of King Arthur and His Knights,,Sir James Knowles and Sir Thomas Malory,1788
The Sturgis wager :,,Edgar Morette,1786
"Eve's Diary, Complete",,Mark Twain,1783
English Fairy Tales,,,1781
Белые ночи,,Fyodor Dostoyevsky,1778
The slang dictionary :,,John Camden Hotten,1769
Howards End,,E. M.  Forster,1769
Daemonologie.,,King of England James I,1766
The Romance of Tristan and Iseult,,Joseph Bédier,1765
Entretiens / Interviews / Entrevistas,,Marie Lebert,1764
The Box-Car Children,,Gertrude Chandler Warner,1761
Theaetetus,,Plato,1760
Духовные оды,,Gavriil Romanovich Derzhavin,1758
Little Lucy's Wonderful Globe,,Charlotte M.  Yonge,1758
Le rouge et le noir: chronique du XIXe siècle,,Stendhal,1758
Aeneidos,,Virgil,1756
"Amphitryo, Asinaria, Aulularia, Bacchides, Captivi",,Titus Maccius Plautus,1756
Canada West,,,1755
The wolf pack,,Ridgwell Cullum,1751
Lady Audley's Secret,,M. E.  Braddon,1748
The First Six Books of the Elements of Euclid,,John Casey and Euclid,1747
Essays of Schopenhauer,,Arthur Schopenhauer,1744
The mystery of the Blue Train,,Agatha Christie,1743
"The Tinguian: Social, Religious, and Economic Life of a Philippine Tribe",,Fay-Cooper Cole,1743
Volpone,The Fox,Ben Jonson,1741
Plutarch's Morals,,Plutarch,1734
The Raven,,Edgar Allan Poe,1733
Arms and the Man,,Bernard Shaw,1732
Latin for Beginners,,Benjamin L.  D'Ooge,1726
Laura Middleton; Her Brother and her Lover,,Anonymous,1723
The Portrait of a Lady — Volume 1,,Henry James,1723
On the Nature of Things,,Titus Lucretius Carus,1719
Sister Carrie: A Novel,,Theodore Dreiser,1718
The Tenant of Wildfell Hall,,Anne Brontë,1717
An Ideal Husband,,Oscar Wilde,1717
A Princess of Mars,,Edgar Rice Burroughs,1711
"The Spectator, Volume 1",,Joseph Addison and Sir Richard Steele,1707
The Discoverie of Witchcraft,,Reginald Scot,1704
The Practice of the Presence of God,,Brother of the Resurrection Lawrence,1703
Sons and Lovers,,D. H.  Lawrence,1703
"Ancient Nahuatl Poetry, Containing the Nahuatl Text of XXVII Ancient Mexican Poems",,Brinton,1702
Daddy-Long-Legs,,Jean Webster,1699
The Spanish Tragedie,,Thomas Kyd,1697
"Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan",,José Rizal,1695
Anne's House of Dreams,,L. M.  Montgomery,1688
The Story of My Life,,Helen Keller,1686
The Nibelungenlied,,,1685
Dave Porter's war honors :,,Edward Stratemeyer,1685
The Real Mother Goose,,,1682
"The Philippine Islands, 1493-1803 — Volume 05 of 55",,,1682
Nicholas Nickleby,,by Charles Dickens,1680
First lessons in batik :,,Gertrude Clayton Lewis,1679
The innocence of Father Brown,,G. K.  Chesterton,1678
Confessions of an English Opium-Eater,,Thomas De Quincey,1678
The Lives and Opinions of Eminent Philosophers,,Diogenes Laertius,1675
"Knickerbocker's History of New York, Complete",,Washington Irving,1673
The Egyptian Book of the dead,,,1666
"Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists",,,1662
Commentary on the Epistle to the Galatians,,Martin Luther,1660
"The Odes of Casimire, Translated",,G. Hils by Maciej Kazimierz Sarbiewski,1658
Two little Finns,,Mary E.  Ropes,1655
The Velveteen Rabbit,,Margery Williams Bianco,1655
The Essays of Arthur Schopenhauer: the Wisdom of Life,,Arthur Schopenhauer,1654
Tarzan of the Apes,,Edgar Rice Burroughs,1649
Japanese Fairy Tales,,Yei Theodora Ozaki,1649
Eugene Oneguine [Onegin],,Aleksandr Sergeevich Pushkin,1647
The Crucible,,Mark Lee Luther,1638
Considerations on Representative Government,,John Stuart Mill,1636
The Meditations of the Emperor Marcus Aurelius Antoninus,,Emperor of Rome Marcus Aurelius,1635
The Analects of Confucius,,Confucius,1634
The Octoroon,,M. E.  Braddon,1630
Kalevala : the Epic Poem of Finland — Complete,,,1624
Five Selected Short Stories,,D. H.  Lawrence,1624
The Tale of Squirrel Nutkin,,Beatrix Potter,1623
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",,Giacomo Casanova,1623
The Narrative of Arthur Gordon Pym of Nantucket,,Edgar Allan Poe,1622
The literature of the Highlanders :,,Nigel MacNeill,1621
Surgical Anatomy,,Joseph Maclise,1621
Zimmerblattpflanzen,,Udo Dammer,1620
Festival plays :,,Marguerite Merington,1620
The Travels of Sir John Mandeville,,Sir John Mandeville,1620
The Will to Power: An Attempted Transvaluation of All Values. Book I and II,,Nietzsche,1619
The Analysis of Mind,,Bertrand Russell,1617
Boswell's Life of Johnson,,James Boswell,1608
李太白集,,Bai Li,1605
Prayers of the Early Church,,,1601
Victoria,,Knut Hamsun,1599
Autobiography of a Yogi,,Paramahansa Yogananda,1598
Charlotte Temple,,Mrs. Rowson,1597
New Atlantis,,Francis Bacon,1596
The Old Curiosity Shop,,Charles Dickens,1595
Justice,,John Galsworthy,1595
A Concise Anglo-Saxon Dictionary,,J. R. Clark  Hall,1593
Alice's Adventures in Wonderland,,Lewis Carroll,1591
The Rubaiyat of Omar Khayyam,,Omar Khayyam,1590
The Wonderful Wizard of Oz,,L. Frank  Baum,1590
Simple Sabotage Field Manual,,United States. Office of Strategic Services,1590
海公案,,Anonymous,1586
Minute Mysteries [Detectograms],,H. A.  Ripley,1585
Checklist,,,1584
Life in the Iron-Mills,The Korl Woman,Rebecca Harding Davis,1583
Novelas Cortas,,Pedro Antonio de Alarcón,1582
Tamburlaine the Great — Part 1,,Christopher Marlowe,1577
Erewhon,Over the Range,Samuel Butler,1576
Orthodoxy,,G. K.  Chesterton,1576
Niebla,,Miguel de Unamuno,1576
The Willows,,Algernon Blackwood,1575
The House of the Seven Gables,,Nathaniel Hawthorne,1575
Cyropaedia: The Education of Cyrus,,Xenophon,1575
A Pocket Dictionary: Welsh-English,,William Richards,1574
The Arabian Nights: Their Best-known Tales,,,1573
What Is Art?,,graf Leo Tolstoy,1573
Dom Casmurro,,Machado de Assis,1570
"A woman's war record, 1861-1865",,Septima M.  Collis,1569
Principios e questões de philosophia politica,,António Cândido,1565
The Germany and the Agricola of Tacitus,,Cornelius Tacitus,1564
"Right Ho, Jeeves",,P. G.  Wodehouse,1561
Walking,,Henry David Thoreau,1559
Cicero's Tusculan Disputations,,Marcus Tullius Cicero,1555
Myths and Legends of China,,E. T. C.  Werner,1553
Demonology and Devil-lore,,Moncure Daniel Conway,1552
The Agamemnon of Aeschylus,,Aeschylus,1549
Woodworking Tools 1600-1900,,Peter C. Welsh,1548
Sir Gawain and the Green Knight: A Middle-English Arthurian Romance Retold in Modern Prose,,Weston,1548
A Complete Guide to Heraldry,,Arthur Charles Fox-Davies,1548
Marmion: A Tale Of Flodden Field,,Walter Scott,1547
A Hundred and Seventy Chinese Poems,,,1544
Palmistry for All,,Cheiro,1544
Heath's Modern Language Series: The Spanish American Reader,,Ernesto Nelson,1542
Contes Français,,,1539
The Little Clay Cart [Mṛcchakaṭika],,Sūdraka,1537
Voyage au Centre de la Terre,,Jules Verne,1534
The Medicinal Plants of the Philippines,,T. H.  Pardo de Tavera,1533
Grimm's Fairy Tales,,Jacob Grimm and Wilhelm Grimm,1530
"The Works of the Right Honourable Edmund Burke, Vol. 01",,Edmund Burke,1530
A General Introduction to Psychoanalysis,,Sigmund Freud,1530
Japanese Girls and Women,,Alice Mabel Bacon,1528
I. Beowulf: an Anglo-Saxon poem. II. The fight at Finnsburh: a fragment.,,,1528
L'île mystérieuse,,Jules Verne,1527
Os Maias: episodios da vida romantica,,Eça de Queirós,1526
The Secret Agent: A Simple Tale,,Joseph Conrad,1526
Helmet and spear :,,Alfred John Church,1524
Timaeus,,Plato,1517
Faust: Eine Tragödie [erster Teil],,Johann Wolfgang von Goethe,1510
The Eighteenth Brumaire of Louis Bonaparte,,Karl Marx,1508
"The Schoolmistress, and Other Stories",,Anton Pavlovich Chekhov,1502
Every Man in His Humor,,Ben Jonson,1500
Ion,,Plato,1499
The Institutes of Justinian,,,1495
The Shame of the Cities,,Lincoln Steffens,1494
Spoon River Anthology,,Edgar Lee Masters,1494
The Works of Edgar Allan Poe — Volume 5,,Edgar Allan Poe,1492
The Mysterious Island,,Jules Verne,1491
Far from the Madding Crowd,,Thomas Hardy,1490
Lays of Ancient Rome,,Baron Thomas Babington Macaulay Macaulay,1489
The Suppression of the African Slave Trade to the United States of America,,W. E. B.  Du Bois,1489
The Post Office,,Rabindranath Tagore,1488
Some Principles of Maritime Strategy,,Julian Stafford Corbett,1486
The Wampanoags in the seventeenth century :,,Catherine Marten,1484
"Rockets, Missiles, and Spacecraft of the National Air and Space Museum, Smithsonian Institution",,,1484
The Taming of the Shrew,,William Shakespeare,1482
The Prince,,Niccolò Machiavelli,1476
The Gambler,,Fyodor Dostoyevsky,1475
The Age of the Reformation,,Preserved Smith,1475
The Essays of Arthur Schopenhauer; Counsels and Maxims,,Arthur Schopenhauer,1473
The Best American Humorous Short Stories,,,1472
The case-book of Sherlock Holmes,,Arthur Conan Doyle,1470
"The Best of the World's Classics, Restricted to Prose, Vol. X",,,1465
Tartuffe,The Hypocrite,Molière,1464
Now we are six,,A. A.  Milne,1462
"Australia, New Zealand and some islands of the South seas :",,Frank G.  Carpenter,1462
"The Works of Edgar Allan Poe, The Raven Edition",,Edgar Allan Poe,1461
The Fairy Tales of Charles Perrault,,Charles Perrault,1461
Monday or Tuesday,,Virginia Woolf,1459
Heimskringla,The Chronicle of the Kings of Norway,Snorri Sturluson,1459
Dombey and Son,,Charles Dickens,1457
Villette,,Charlotte Brontë,1455
Divina Commedia di Dante: Inferno,,Dante Alighieri,1452
Martin Chuzzlewit,,Charles Dickens,1447
The Rhinegold & The Valkyrie,,Richard Wagner,1447
"Autobiography of Ma-ka-tai-me-she-kia-kiak, or Black Hawk",,Sauk chief Black Hawk,1446
The 2010 CIA World Factbook,,United States. Central Intelligence Agency,1443
Modern Spanish Lyrics,,,1442
"The Queen of Spades, and other stories",,Aleksandr Sergeevich Pushkin,1441
"The Principles of Psychology, Volume 1",,William James,1438
The Joyful Wisdom,,Friedrich Wilhelm Nietzsche,1437
灵历集光,,Shangjie Song,1436
The Marching Morons,,C. M.  Kornbluth,1432
Scouting for Boys,,Baron Robert Stephenson Smyth Baden-Powell Baden-Powell of Gilwell,1431
English Literature,,William J.  Long,1430
Humbug :,,E. M. Delafield,1430
The Wonders of the Invisible World,,Cotton Mather and Increase Mather,1430
粉妝樓全傳,,Guanzhong Luo,1429
The Critique of Practical Reason,,Immanuel Kant,1428
Relativity : the Special and General Theory,,Albert Einstein,1425
The Autobiography of Benjamin Franklin,,Benjamin Franklin,1424
Psychology of the Unconscious,,C. G.  Jung,1423
Lucian's True History,,of Samosata Lucian,1421
"Encyclopaedia Britannica, 11th Edition, ""Destructors"" to ""Diameter""",,Various,1420
La Comédie humaine - Volume 02,,Honoré de Balzac,1420
"Letters to His Son, Complete",,Earl of Philip Dormer Stanhope Chesterfield,1419
All About Coffee,,William H.  Ukers,1419
Boy Scouts Handbook,,Boy Scouts of America,1417
Venus in Furs,,Ritter von Leopold Sacher-Masoch,1415
The American Diary of a Japanese Girl,,Yoné Noguchi,1412
The Big Four,,Agatha Christie,1408
The Tale of Tom Kitten,,Beatrix Potter,1407
The Secret Sharer,,Joseph Conrad,1406
"The Battle of the Books, and other Short Pieces",,Jonathan Swift,1406
"The Danish History, Books I-IX",,Grammaticus Saxo,1401
Ancient Pagan and Modern Christian Symbolism,,Thomas Inman and M.R.C.S.E. John Newton,1400
"1900; or, The last President",,Ingersoll Lockwood,1400
The Complete Poetical Works of Edgar Allan Poe,,Edgar Allan Poe,1398
A tight squeeze :,,William Staats,1394
Dialogues in French and English,,William Caxton,1394
The New Gresham Encyclopedia. Estremoz to Felspar,,Various,1393
The Friars in the Philippines,,Ambrose Coleman,1393
Aldyth's inheritance,,Eglanton Thorne,1393
Home Geography for Primary Grades,,C. C. Long,1392
Tragic Sense Of Life,,Miguel de Unamuno,1387
"Napoleon's Letters to Josephine, 1796-1812",,Emperor of the French Napoleon I,1385
First through the Grand Canyon :,,John Wesley Powell,1384
"Current History, Vol. VIII, No. 3, June 1918",,Various,1384
The Frontier in American History,,Frederick Jackson Turner,1382
The Battle of the Bays,,Owen Seaman,1382
The New Life,,Dante Alighieri,1380
"Bushido, the Soul of Japan",,Inazo Nitobe,1378
Letters of Pliny,,the Younger Pliny,1376
The uses of water in health and disease :,,John Harvey Kellogg,1373
The Ladies Delight,,Anonymous,1373
Kant's Critique of Judgement,,Immanuel Kant,1367
Tim and Tip :,,James Otis,1366
El Hombre Mediocre: Ensayo de psicologia y moral,,José Ingenieros,1366
Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,,Jules Verne,1366
"Hesiod, the Homeric Hymns, and Homerica",,Hesiod,1365
"Ragged Dick,",Street Life in New York with the Boot-Blacks,Jr. Horatio Alger,1365
The Diary of Samuel Pepys — Complete,,Samuel Pepys,1364
Lady Chatterley's lover,,D. H.  Lawrence,1361
Der Zauberberg. Erster Band,,Thomas Mann,1361
"Legends, Tales and Poems",,Gustavo Adolfo Bécquer,1358
The Woman in Black,,E. C.  Bentley,1357
Yr Hwiangerddi,,Sir Owen Morgan Edwards,1355
The Book of Tea,,Kakuzo Okakura,1354
Poems Every Child Should Know,,,1354
Because of conscience :,,Amy Ella Blanchard,1352
Детство,,graf Leo Tolstoy,1352
Encyclopedia of Needlework,,Thérèse de Dillmont,1346
The Hairy Ape,,Eugene O'Neill,1345
Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,,Thomas Carlyle,1344
Following the Equator: A Journey Around the World,,Mark Twain,1343
Dragon's teeth :,,Eça de Queirós,1341
羹,,Jun'ichiro Tanizaki,1337
Grimm's Fairy Stories,,Jacob Grimm and Wilhelm Grimm,1331
An Introduction to Mathematics,,Alfred North Whitehead,1329
The Orbis Pictus,,Johann Amos Comenius,1328
Father Goriot,,Honoré de Balzac,1328
Give Me Liberty or Give Me Death,,Patrick Henry,1328
The Science of Getting Rich,,W. D. Wattles,1327
The American Occupation of the Philippines 1898-1912,,James H.  Blount,1327
Gwaith Samuel Roberts,,Samuel Roberts,1327
Memoirs of General William T. Sherman — Complete,,William T.  Sherman,1325
The Man Who Would Be King,,Rudyard Kipling,1324
Fables de La Fontaine,,Jean de La Fontaine,1321
The Lost World,,Arthur Conan Doyle,1320
The Day of Doom,a Poetical Description of the Great and Last Judgement,Michael Wigglesworth,1320
What's Wrong with the World,,G. K.  Chesterton,1319
O Pioneers!,,Willa Cather,1318
A New History of the United States,,Charles Morris,1317
The Piazza Tales,,Herman Melville,1316
The Protocols and world revolution :,,Sergiei Nilus,1316
Essais de Montaigne,,Michel de Montaigne,1315
The Secret Adversary,,Agatha Christie,1313
Sketches New and Old,,Mark Twain,1312
The Ancient Irish Epic Tale Táin Bó Cúalnge,,,1311
Plutarch: Lives of the noble Grecians and Romans,,Plutarch,1309
Northern Nut Growers Association Report of the Proceedings at the Thirty-Seventh  Annual Report,,,1309
How it feels to be colored me,,Zora Neale Hurston,1307
One Hundred Proofs That the Earth Is Not a Globe,,William Carpenter,1305
Public Opinion,,Walter Lippmann,1305
The International Jew : The World's Foremost Problem,,Anonymous,1304
At the mountains of madness,,H. P.  Lovecraft,1304
The Birds,,Aristophanes,1302
The Financier: A Novel,,Theodore Dreiser,1297
A Complete Dictionary of Synonyms and Antonyms,,Samuel Fallows,1294
El libro de las tierras vírgenes,,Rudyard Kipling,1293
The Tragedy of Romeo and Juliet,,William Shakespeare,1292
Myths of the Norsemen: From the Eddas and Sagas,,H. A.  Guerber,1289
Webster's Unabridged Dictionary,,Various,1288
Constantinople,,Théophile Gautier,1288
Men without women,,Ernest Hemingway,1286
"Notes and Queries, Vol. III, Number 87, June 28, 1851",,Various,1285
The gardener,,Rabindranath Tagore,1285
"Rasselas, Prince of Abyssinia",,Samuel Johnson,1283
The 2006 CIA World Factbook,,United States. Central Intelligence Agency,1279
The Marvelous Land of Oz,,L. Frank  Baum,1275
The Great Illusion,,Norman Angell,1274
Three Ghost Stories,,Charles Dickens,1274
Northern Nut Growers Association Report of the Proceedings at the 44th Annual Meeting,,,1273
The Nursery Rhymes of England,,,1272
"De Re Metallica, Translated from the First Latin Edition of 1556",,Georg Agricola,1272
The house at Pooh Corner,,A. A.  Milne,1269
The Varieties of Religious Experience: A Study in Human Nature,,William James,1268
Chile today and tomorrow,,L. E. Elliott  Joyce,1268
Principles of Political Economy,,John Stuart Mill,1267
Diego Collado's Grammar of the Japanese Language,,Diego Collado,1265
Maggie: A Girl of the Streets,,Stephen Crane,1263
Agawan ng Dangal,,Fausta Cortes,1262
Lady Susan,,Jane Austen,1261
How to Live on 24 Hours a Day,,Arnold Bennett,1260
United States Steel: A Corporation with a Soul,,Arundel Cotter,1259
One Thousand Ways to Make Money,,Page Fox,1256
The Letters of Jane Austen,,Jane Austen,1255
Beauty and the Beast,,Jeanne-Marie Leprince de Beaumont,1254
The symbolism of Freemasonry :,,Albert Gallatin Mackey,1250
